Time(s),Ax(m/s²),Ay(m/s²),Az(m/s²),Wx(rad/s),Wy(rad/s),Wz(rad/s),X(m),Y(m),Z(m)
0.0,0.0,0.0,9.8,0.0,0.0,0.015,0.0,0.0,0.00098
0.01,0.0014999955000162,0.0007992005330667685,9.8,0.00019900661706336167,9.995001666249781e-06,0.015,1.4999955000162e-07,7.992005330667684e-08,0.0029400000000000003
0.02,0.0029999640005183925,0.0015968042624034064,9.8,0.00039605254592359424,1.998001332666921e-05,0.015,5.999955000550793e-07,3.1952053285369435e-07,0.005880000000000001
0.03,0.004499878503936471,0.0023928143784258896,9.8,0.000591176044830888,2.9955044966269996e-05,0.015,1.4999793005021856e-06,7.984024502433007e-07,0.009800000000000001
0.04,0.0059997120165878335,0.003187234065175737,9.8,0.0007844142630656259,3.9920106560085155e-05,0.015,2.999934302608075e-06,1.5960077741504808e-06,0.014700000000000003
0.05,0.00749943755062039,0.003980066500332758,9.8,0.00097580328338864,4.9875208073176804e-05,0.015,5.249833059776004e-06,2.7916197480909368e-06,0.020580000000000005
0.06,0.008999028125954682,0.0047713148552277936,9.8,0.0011653781624795154,5.9820359460647235e-05,0.015,8.399634629539401e-06,4.464363207554172e-06,0.027440000000000003
0.07,0.010498456772224808,0.005560982294855243,9.8,0.0013531729694762963,6.975557066764893e-05,0.015,1.2599281876525279e-05,6.6932048965029314e-06,0.03528
0.08,0.011997696530717868,0.006349071977885945,9.8,0.0015392208227225665,7.968085162939343e-05,0.015,1.7998698776582942e-05,9.556953783240285e-06,0.0441
0.09,0.01349672045631162,0.007135587056679694,9.8,0.0017235539248210466,8.959621227116355e-05,0.015,2.474778772227177e-05,1.3134261375645611e-05,0.053899999999999997
0.1,0.014995501619410071,0.007920530677297899,9.8,0.0019062035960864974,9.950166250831894e-05,0.015,3.2996426829901603e-05,1.7503622035780725e-05,0.06468
0.11,0.016494013107876685,0.00870390597951598,9.8,0.0020872003064848553,0.00010939721224631271,0.015,4.28944672483191e-05,2.2743373293867435e-05,0.07644000000000001
0.12,0.01799222802896492,0.009485716096836284,9.8,0.0022665737061400635,0.00011928287138069483,0.015,5.45917304696331e-05,2.8931696161637778e-05,0.08918
0.13,0.01949011951124582,0.010265964156500253,9.8,0.0024443526544849843,0.00012915864979712422,0.015,6.823800564207167e-05,3.614661544505814e-05,0.10289999999999999
0.14,0.02098766070653234,0.01104465327950126,9.8,0.002620565248128082,0.00013902455737138108,0.015,8.398304688516349e-05,4.4466000056428634e-05,0.1176
0.15,0.022484824791800122,0.011821786580596738,9.8,0.002795238847503174,0.00014888060396937353,0.015,0.00010197657060743531,5.39675633258588e-05,0.13328
0.16,0.02398158497110445,0.012597367168320961,9.8,0.0029684001023654663,0.00015872679944714863,0.015,0.0001223682528268176,6.472886331212106e-05,0.14994
0.17,0.025477914477493053,0.013371398144997349,9.8,0.0031400749761932955,0.00016856315365090357,0.015,0.00014530772649394916,7.682730311288306e-05,0.16758
0.18,0.026973786574914515,0.01414388260675077,9.8,0.003310288769551468,0.00017838967641699234,0.015,0.0001709445788185722,9.034013117432012e-05,0.1862
0.19,0.028469174560121956,0.014914823643520193,9.8,0.003479066142468761,0.00018820637757194003,0.015,0.00019942834859920742,0.00010534444160010922,0.2058
0.2,0.029964051764571748,0.01568422433907073,9.8,0.003646431135879093,0.00019801326693244748,0.015,0.00023090852355629981,0.00012191717445980539,0.22638000000000003
0.21,0.031458391556316925,0.016452087771006197,9.8,0.003812407192172995,0.0002078103543054044,0.015,0.0002655345376690239,0.00014013511609660217,0.24794000000000005
0.22,0.03295216734189503,0.01721841701078133,9.8,0.003977017174903304,0.0002175976494878995,0.015,0.0003034557685159375,0.00016007489943447708,0.27048000000000005
0.23,0.03444535256821017,0.01798321512371417,9.8,0.004140283387686523,0.00022737516226722931,0.015,0.0003448215346196721,0.00018181300428472342,0.29400000000000004
0.24,0.035937920724408864,0.018746485168998107,9.8,0.00430222759233891,0.00023714290242090707,0.015,0.00038978109279584757,0.00020542575765186957,0.3185000000000001
0.25,0.037429845343749546,0.019508230199714396,9.8,0.0044628710262841955,0.00024690087971667384,0.015,0.000438483635506398,0.00023098933403898717,0.3439800000000001
0.26,0.03892110000546537,0.02026845326284419,9.8,0.004622234419267733,0.0002566491039125063,0.015,0.000491078288217495,0.00025857975575238916,0.3704400000000001
0.27,0.04041165833662002,0.021027157399280672,9.8,0.004780338009409998,0.00026638758475663215,0.015,0.000547714106762254,0.00028827289320571925,0.3978800000000001
0.28,0.041901494013956354,0.021784345643841487,9.8,0.004937201558630516,0.0002761163319875315,0.015,0.0006085400747084087,0.0003201444652234335,0.4263000000000001
0.29,0.04339058076573747,0.02254002102528059,9.8,0.005092844367471614,0.0002858353553339521,0.015,0.000673705100731137,0.00035427003934367584,0.45570000000000016
0.3,0.04487889237358005,0.023294186566300515,9.8,0.00524728528934982,0.0002955446645149185,0.015,0.0007433580159912235,0.00039072503212054816,0.4860800000000002
0.31,0.04636640267427962,0.024046845283564447,9.8,0.005400542744261203,0.00030524426923974056,0.015,0.0008176475715187377,0.0004295847094257769,0.5174400000000002
0.32,0.047853085561627484,0.024798000187708214,9.8,0.0055526347319655904,0.000314934179208024,0.015,0.0008967224356024148,0.00047092418674977646,0.5497800000000003
0.33,0.04933891498821919,0.025547654283352463,9.8,0.005703578844673248,0.0003246144041096799,0.015,0.0009807311911849137,0.0005148184295021113,0.5831000000000003
0.34,0.050823864967253975,0.026295810569114588,9.8,0.0058533922792564,0.0003342849536249337,0.015,0.001069822333264138,0.0005613422533113576,0.6174000000000003
